,authorID,authorName,authorAffiliation
0,1726114642,Ciyuan Peng,N/A
1,2143633281,Feng Xia,N/A
2,2149932639,Mehdi Naseriparsa,N/A
3,2052329,Francesco Osborne,N/A
4,22247218,Marcel Gohsen,N/A
5,1405867539,Benno Stein,N/A
6,1473373066,Jinta Weng,N/A
7,2118544312,Ying Gao,N/A
8,50980085,Jing Qiu,N/A
9,83411922,Guozhu Ding,N/A
10,2115689232,Huanqin Zheng,N/A
11,2118658200,Chun-Hee Lee,N/A
12,1748923,Dong-oh Kang,N/A
13,2224671162,Hwa Jeon Song,N/A
14,2067824542,Siyu Yao,N/A
15,2144408488,Ruijie Wang,N/A
16,2109354880,Shen Sun,N/A
17,1420560026,Derui Bu,N/A
18,145694057,Jun Liu,N/A
19,2827559,Zoi Kaoudi,N/A
20,2165227698,Abelardo Carlos Martínez Lorenzo,N/A
21,1733290,V. Markl,N/A
22,1705291,Valeria Fionda,N/A
23,145750056,G. Pirrò,N/A
24,2061389548,Cristóbal Esteban,N/A
25,1700754,Volker Tresp,N/A
26,3104845,Yinchong Yang,N/A
27,31418786,S. Baier,N/A
28,2614774,Denis Krompass,N/A
29,,Wen Zhang,N/A
30,153371173,Chi-Man Wong,N/A
31,2083548792,Ganqiang Ye,N/A
32,2087056242,Bo Wen,N/A
33,2155468731,Wei Zhang,N/A
34,49178307,Huajun Chen,N/A
35,40124153,Takuma Ebisu,N/A
36,143758327,R. Ichise,N/A
37,1946130,Najmeh Torabian,N/A
38,1403320509,B. Minaei-Bidgoli,N/A
39,2041628,M. Jahanshahi,N/A
40,1944536259,Lingfeng Zhong,N/A
41,2144139161,Jia Wu,N/A
42,2117126771,Qian Li,N/A
43,2138443697,Hao Peng,N/A
44,1748808,Xindong Wu,N/A
45,2146236553,Hongcai Xu,N/A
46,29795770,J. Bao,N/A
47,2109598171,Junqing Wang,N/A
48,2300094833,Daqian Shi,N/A
49,1707145712,Zhixin Qi,N/A
50,46506118,Hongzhi Wang,N/A
51,2143421787,Haoran Zhang,N/A
52,2267426389,Lena Zellinger,N/A
53,2060130896,Andreas Stephan,N/A
54,2267424947,Benjamin Roth,N/A
55,2190715271,Lianshang Cai,N/A
56,49723181,Xin Mao,N/A
57,2290061701,Yuhao Zhou,N/A
58,2278432039,Zhaoguang Long,N/A
59,2290246460,Changxu Wu,N/A
60,2278431786,Man Lan,N/A
61,2153466123,Jing Liu,N/A
62,2062719264,Tongya Zheng,N/A
63,2210239119,Guanzheng Zhang,N/A
64,36851883,Qinfen Hao,N/A
65,2789097,Peter Bloem,N/A
66,2109253056,Zhibin Liu,N/A
67,2715551,Zheng-Yu Niu,N/A
68,40354707,Hua Wu,N/A
69,144270731,Haifeng Wang,N/A
70,26948699,Nicolas Heist,N/A
71,2945518,S. Hertling,N/A
72,49846217,Daniel Ringler,N/A
73,1802726,Heiko Paulheim,N/A
74,2158144101,Jing Zhang,N/A
75,2152688058,Bo Chen,N/A
76,2145402325,Lingxi Zhang,N/A
77,1993985136,Xirui Ke,N/A
78,2113455170,Haipeng Ding,N/A
79,2072587175,Sumin Seo,N/A
80,2191523373,Heeseon Cheon,N/A
81,2191602997,Hyunho Kim,N/A
82,2053873712,Dongseok Hyun,N/A
83,1682574,Ankur Padia,N/A
84,1718823,K. Kalpakis,N/A
85,2249216300,Francis Ferraro,N/A
86,2256600356,Timothy W. Finin,N/A
87,100680875,Liang Yao,N/A
88,145449667,Chengsheng Mao,N/A
89,1830568527,Yuan Luo,N/A
90,2348481,Sakher Khalil Alqaaidi,N/A
91,2293612223,Krzysztof Kochut,N/A
92,2053111975,Qian Dong,N/A
93,2108021633,Yiding Liu,N/A
94,2111102795,Suqi Cheng,N/A
95,2386396,Shuaiqiang Wang,N/A
96,2788612,Zhicong Cheng,N/A
97,2944201,Shuzi Niu,N/A
98,50559722,Dawei Yin,N/A
99,2177822,Saed Rezayi,N/A
100,7574699,Handong Zhao,N/A
101,2109571021,Sungchul Kim,N/A
102,2066337266,Ryan A. Rossi,N/A
103,1793409,Nedim Lipka,N/A
104,2153698893,Sheng Li,N/A
105,2300756,Hidetaka Kamigaito,N/A
106,2087025575,Katsuhiko Hayashi,N/A
107,34593967,Ke Tu,N/A
108,143738684,Peng Cui,N/A
109,2057764,Daixin Wang,N/A
110,2019870682,Zhiqiang Zhang,N/A
111,2151548887,Jun Zhou,N/A
112,145475951,Yuan Qi,N/A
113,145583986,Wenwu Zhu,N/A
114,10684484,Yunpu Ma,N/A
115,2115640193,Yuyi Wang,N/A
116,48619253,Pengpeng Shao,N/A
117,2109941515,Guohua Yang,N/A
118,2140413706,Dawei Zhang,N/A
119,37670752,J. Tao,N/A
120,1471057495,Feihu Che,N/A
121,2111151090,Tong Liu,N/A
122,2145539796,Haoran Li,N/A
123,1809614,Yangqiu Song,N/A
124,3113725,V. Zheng,N/A
125,1492113939,Jianxin Li,N/A
126,2116271777,Hongbo Zhang,N/A
127,1488944173,Chen Tang,N/A
128,2188239046,Tyler Loakman,N/A
129,2268783,Chenghua Lin,N/A
130,2216714320,Stefan Goetze,N/A
131,2239893445,J. Sohn,N/A
132,144592155,Mingyu Derek Ma,N/A
133,1998918,Muhao Chen,N/A
134,2056255674,Hassan Hussein,N/A
135,51308420,A. Oelen,N/A
136,1969899,Oliver Karras,N/A
137,145044578,S. Auer,N/A
138,2126490405,Aurpon Gupta,N/A
139,33106860,S. Dasgupta,N/A
140,2149462782,Snehasis Sinha,N/A
141,1722619,Amarnath Gupta,N/A
142,47457412,Thomas Gebhart,N/A
143,2113648460,J. Hansen,N/A
144,31791248,Paul Schrater,N/A
145,27080447,Aryo Pradipta Gema,N/A
146,2218574681,Dominik Grabarczyk,N/A
147,1958839977,Wolf De Wulf,N/A
148,51446515,Piyush Borole,N/A
149,2218563528,J. Alfaro,N/A
150,3051815,Pasquale Minervini,N/A
151,14341992,Antonio Vergari,N/A
152,2002781,A. Rajan,N/A
153,2119033569,N'Dah Jean Kouagou,N/A
154,115840239,Caglar Demir,N/A
155,2422519,Hamada M. Zahera,N/A
156,33312463,Adrian Wilke,N/A
157,2343083,Stefan Heindorf,N/A
158,2261393142,Jiayi Li,N/A
159,1712107,A. N. Ngomo,N/A
160,2036692990,RUI KANG,N/A
161,46247832,Daniel Obraczka,N/A
162,2046990501,Jonathan Schuchart,N/A
163,1747414,E. Rahm,N/A
164,2108395494,Jaejun Lee,N/A
165,2118774595,Chanyoung Chung,N/A
166,34826931,Joyce Jiyoung Whang,N/A
167,2277585976,Mengqi Zhang,N/A
168,2286432237,Xiaotian Ye,N/A
169,48873756,Q. Liu,N/A
170,1749477,Pengjie Ren,N/A
171,50425438,Shu Wu,N/A
172,1721165,Zhumin Chen,N/A
173,1768138171,Sumit Pai,N/A
174,3021495,Luca Costabello,N/A
175,3726197,A. Priyadarshi,N/A
176,34077227,K. Kochut,N/A
177,2691021,Antoine Bosselut,N/A
178,39227408,Ronan Le Bras,N/A
179,1699545,Yejin Choi,N/A
180,153345698,Tianxiang Sun,N/A
181,95329799,Yunfan Shao,N/A
182,1767521,Xipeng Qiu,N/A
183,153683057,Qipeng Guo,N/A
184,2113667334,Yaru Hu,N/A
185,1790227,Xuanjing Huang,N/A
186,1852415,Zheng Zhang,N/A
187,72401599,Siddhant Arora,N/A
188,145280961,A. Chadzynski,N/A
189,48831702,Shiying Li,N/A
190,1729684244,Ayda Grisiute,N/A
191,2237776324,Jefferson Chua,N/A
192,2237776960,Markus Hofmeister,N/A
193,2237884345,Jingya Yan,N/A
194,2237776955,Huay Yi Tai,N/A
195,2237776424,Emily Lloyd,N/A
196,2237777490,Y. Tsai,N/A
197,2233892947,Mehal Agarwal,N/A
198,93404234,J. Akroyd,N/A
199,71366148,P. Herthogs,N/A
200,2062455872,Markus Kraft,N/A
201,3020558,Yachen Tang,N/A
202,1996200448,Haiyun Han,N/A
203,2116928670,Xianmao Yu,N/A
204,2151692764,Jing Zhao,N/A
205,121865955,Guangyi Liu,N/A
206,2448576,Longfei Wei,N/A
207,9500145,M. Ballandies,N/A
208,3129259,Evangelos Pournaras,N/A
209,2052851051,Jason Youn,N/A
210,47371626,I. Tagkopoulos,N/A
211,152288639,Pei-Chi Lo,N/A
212,2112716500,Yiting Tsai,N/A
213,2244786296,Ee-Peng Lim,N/A
214,2237266502,San-Yih Hwang,N/A
215,2146060029,Meng Wang,N/A
216,1708906,Michael Cochez,N/A
217,1685642,S. Decker,N/A
218,51394448,Shaoxiong Ji,N/A
219,2585415,Shirui Pan,N/A
220,49943757,E. Cambria,N/A
221,2848857,P. Marttinen,N/A
222,144019071,Philip S. Yu,N/A
223,7806955,Zeqiu Wu,N/A
224,1403698986,Rik Koncel-Kedziorski,N/A
225,144339506,Mari Ostendorf,N/A
226,2548384,Hannaneh Hajishirzi,N/A
227,2280093700,Fali Wang,N/A
228,1491239652,Runxue Bao,N/A
229,2284728221,Suhang Wang,N/A
230,3007026,Wenchao Yu,N/A
231,2238385975,Yanchi Liu,N/A
232,2249879747,Wei Cheng,N/A
233,2249915042,Haifeng Chen,N/A
234,34439326,Nandish Jayaram,N/A
235,2108514592,Arijit Khan,N/A
236,2128664093,Chengkai Li,N/A
237,1740249,Xifeng Yan,N/A
238,1687989,R. Elmasri,N/A
239,2115867010,Sheng Zhou,N/A
240,2108899101,Yucheng Wang,N/A
241,1684692,Defang Chen,N/A
242,2115448385,Jiawei Chen,N/A
243,2153688519,Xin Wang,N/A
244,98262982,Can Wang,N/A
245,2064698184,Jiajun Bu,N/A
246,2166863949,Simon Schramm,N/A
247,2242636125,Christoph Wehner,N/A
248,1727734,Ute Schmid,N/A
249,2736774,Sudip Mittal,N/A
250,2286265039,A. Joshi,N/A
251,2109868752,Lianbo Ma,N/A
252,2075417281,Peng Sun,N/A
253,144102260,Zhiwei Lin,N/A
254,49527646,Hui Wang,N/A
255,40326824,Sendong Zhao,N/A
256,152277111,Bing Qin,N/A
257,40282288,Ting Liu,N/A
258,2148956518,Fei Wang,N/A
259,25849508,Jens Dörpinghaus,N/A
260,8810661,Alexander Apke,N/A
261,2258446380,Vanessa Lage-Rupprecht,N/A
262,2064049816,Andreas Stefan,N/A
263,49599759,Kai Liu,N/A
264,1715774,Zhaoyun Ding,N/A
265,2114787903,Sheng Liang,N/A
266,2116733288,Zhengfei Yu,N/A
267,2118116372,Yun Zhou,N/A
268,2238207068,John Cobb,N/A
269,2116509276,Jay Yu,N/A
270,143824446,K. McCluskey,N/A
271,3040289,Saikat Mukherjee,N/A
272,153237136,M. Stocker,N/A
273,2108986414,Hongwei Wang,N/A
274,40046694,Hongyu Ren,N/A
275,1702139,J. Leskovec,N/A
276,48622851,Mingyang Chen,N/A
277,1617854355,Zonggang Yuan,N/A
278,2861442,Yantao Jia,N/A
279,2135459176,Xiaoyu Liu,N/A
280,2240587447,Yueyi Zhang,N/A
281,2250301651,Zhiwei Xiong,N/A
282,2256944623,Wei Huang,N/A
283,120742766,Bo Hu,N/A
284,2261669002,Xiaoyan Sun,N/A
285,2257429349,Feng Wu,N/A
286,2118526433,Gaojie Zhang,N/A
287,2064602278,David Chang,N/A
288,3451828,Ivana Balazevic,N/A
289,2066462063,Carl Allen,N/A
290,2065550585,Daniel Chawla,N/A
291,2080841115,C. Brandt,N/A
292,2110665673,R. Taylor,N/A
293,15121583,Donghan Yu,N/A
294,1456009348,Chenguang Zhu,N/A
295,35729970,Yiming Yang,N/A
296,48262024,Michael Zeng,N/A
297,46186892,Tin Kuculo,N/A
298,2212888641,Luisa Werner,N/A
299,1685111,Nabil Layaïda,N/A
300,1768207,P. Genevès,N/A
301,150293437,Sarah Chlyah,N/A
302,2108244796,Gaochen Wu,N/A
303,2113744169,Bin Xu,N/A
304,2149241013,Yuxin Qin,N/A
305,2106415327,Fei Kong,N/A
306,2116441766,Bangchang Liu,N/A
307,2146230500,Hongwen Zhao,N/A
308,2091868910,Dejie Chang,N/A
309,6580840,Benjamin J. Lengerich,N/A
310,34961461,Andrew L. Maas,N/A
311,144922861,Christopher Potts,N/A
312,2265649268,Lars Vogt,N/A
313,2937197,Fadhela Kerdjoudj,N/A
314,2141773,Olivier Curé,N/A
315,2044581521,Moritz Plenz,N/A
316,32781138,J. Opitz,N/A
317,2145327410,Philipp Heinisch,N/A
318,1748977,P. Cimiano,N/A
319,143876555,A. Frank,N/A
320,2267389215,Shenghao Yang,N/A
321,2903964,Weizhi Ma,N/A
322,2279883604,Peijie Sun,N/A
323,2279744113,Min Zhang,N/A
324,2256982003,Qingyao Ai,N/A
325,2260835922,Yiqun Liu,N/A
326,2293614988,Mingchen Cai,N/A
