,paperID,keywordName
0,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,knowledge acquisition
1,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,graphs
2,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,knowledge graph completion
3,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,knowledge
4,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,knowledge graph embeddings
5,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,artificial intelligence
6,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,graph
7,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,embedding
8,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,gan
9,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,reasoning
10,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,graph embedding
11,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,knowledge graph
12,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,completion
13,af063194baee08931f12facdffc573e4bd29c463,graphs
14,af063194baee08931f12facdffc573e4bd29c463,knowledge
15,af063194baee08931f12facdffc573e4bd29c463,natural language
16,af063194baee08931f12facdffc573e4bd29c463,graph
17,af063194baee08931f12facdffc573e4bd29c463,knowledge graph
18,af063194baee08931f12facdffc573e4bd29c463,language
19,af063194baee08931f12facdffc573e4bd29c463,construction
20,f2aca403781821618d7a69d98a9fbddccb236081,graphs
21,f2aca403781821618d7a69d98a9fbddccb236081,knowledge
22,f2aca403781821618d7a69d98a9fbddccb236081,graph
23,f2aca403781821618d7a69d98a9fbddccb236081,knowledge graph
24,f2aca403781821618d7a69d98a9fbddccb236081,construction
25,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,graphs
26,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,knowledge graph completion
27,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,knowledge
28,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,graph
29,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,semantic
30,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,embedding
31,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,similarity join
32,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,knowledge graph
33,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,graph embedding
34,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,similarity
35,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,completion
36,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,graphs
37,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,knowledge
38,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,graph
39,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,embedding
40,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,gan
41,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,knowledge graph
42,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,graph embedding
43,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,construction
44,8ef2e6b11b519b609bfaa7ed056f621cee15d552,question answering
45,8ef2e6b11b519b609bfaa7ed056f621cee15d552,graphs
46,8ef2e6b11b519b609bfaa7ed056f621cee15d552,knowledge graph completion
47,8ef2e6b11b519b609bfaa7ed056f621cee15d552,knowledge
48,8ef2e6b11b519b609bfaa7ed056f621cee15d552,knowledge graph embeddings
49,8ef2e6b11b519b609bfaa7ed056f621cee15d552,prediction
50,8ef2e6b11b519b609bfaa7ed056f621cee15d552,graph
51,8ef2e6b11b519b609bfaa7ed056f621cee15d552,embedding
52,8ef2e6b11b519b609bfaa7ed056f621cee15d552,reasoning
53,8ef2e6b11b519b609bfaa7ed056f621cee15d552,knowledge graph
54,8ef2e6b11b519b609bfaa7ed056f621cee15d552,graph embedding
55,8ef2e6b11b519b609bfaa7ed056f621cee15d552,link prediction
56,8ef2e6b11b519b609bfaa7ed056f621cee15d552,completion
57,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,clustering
58,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,graphs
59,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,knowledge
60,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,graph
61,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,node classification
62,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,embedding
63,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,knowledge graph
64,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,graph embedding
65,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,classification
66,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,graphs
67,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,knowledge
68,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,tensor
69,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,event prediction
70,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,prediction
71,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,representation learning
72,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,graph
73,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,semantic
74,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,embedding
75,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,knowledge graph
76,52995bcade40d1c4f6d661a40bde60a7f8c4425c,graphs
77,52995bcade40d1c4f6d661a40bde60a7f8c4425c,knowledge
78,52995bcade40d1c4f6d661a40bde60a7f8c4425c,graph
79,52995bcade40d1c4f6d661a40bde60a7f8c4425c,embedding
80,52995bcade40d1c4f6d661a40bde60a7f8c4425c,gan
81,52995bcade40d1c4f6d661a40bde60a7f8c4425c,knowledge graph
82,52995bcade40d1c4f6d661a40bde60a7f8c4425c,classification
83,3721a8bc7aed12e42ed446bee791d3117f32c101,graphs
84,3721a8bc7aed12e42ed446bee791d3117f32c101,knowledge
85,3721a8bc7aed12e42ed446bee791d3117f32c101,artificial intelligence
86,3721a8bc7aed12e42ed446bee791d3117f32c101,graph
87,3721a8bc7aed12e42ed446bee791d3117f32c101,prediction
88,3721a8bc7aed12e42ed446bee791d3117f32c101,embedding
89,3721a8bc7aed12e42ed446bee791d3117f32c101,knowledge graph
90,3721a8bc7aed12e42ed446bee791d3117f32c101,graph embedding
91,ba6d96444b7f65066ba62e66758664f1dcb59aae,extraction
92,ba6d96444b7f65066ba62e66758664f1dcb59aae,knowledge graph completion
93,ba6d96444b7f65066ba62e66758664f1dcb59aae,knowledge
94,ba6d96444b7f65066ba62e66758664f1dcb59aae,prediction
95,ba6d96444b7f65066ba62e66758664f1dcb59aae,graph
96,ba6d96444b7f65066ba62e66758664f1dcb59aae,knowledge graph reasoning
97,ba6d96444b7f65066ba62e66758664f1dcb59aae,embedding
98,ba6d96444b7f65066ba62e66758664f1dcb59aae,reasoning
99,ba6d96444b7f65066ba62e66758664f1dcb59aae,graph reasoning
100,ba6d96444b7f65066ba62e66758664f1dcb59aae,graph embedding
101,ba6d96444b7f65066ba62e66758664f1dcb59aae,knowledge graph
102,ba6d96444b7f65066ba62e66758664f1dcb59aae,language
103,ba6d96444b7f65066ba62e66758664f1dcb59aae,link prediction
104,ba6d96444b7f65066ba62e66758664f1dcb59aae,completion
105,9ea5874d261359e287eabb735de38a8edba1e091,knowledge acquisition
106,9ea5874d261359e287eabb735de38a8edba1e091,graphs
107,9ea5874d261359e287eabb735de38a8edba1e091,knowledge graph completion
108,9ea5874d261359e287eabb735de38a8edba1e091,knowledge
109,9ea5874d261359e287eabb735de38a8edba1e091,graph
110,9ea5874d261359e287eabb735de38a8edba1e091,gan
111,9ea5874d261359e287eabb735de38a8edba1e091,knowledge graph
112,9ea5874d261359e287eabb735de38a8edba1e091,construction
113,9ea5874d261359e287eabb735de38a8edba1e091,completion
114,ed315478e4590d2ced5a3e3c849981119f50600e,graphs
115,ed315478e4590d2ced5a3e3c849981119f50600e,knowledge
116,ed315478e4590d2ced5a3e3c849981119f50600e,graph
117,ed315478e4590d2ced5a3e3c849981119f50600e,semantic
118,ed315478e4590d2ced5a3e3c849981119f50600e,generator
119,ed315478e4590d2ced5a3e3c849981119f50600e,embedding
120,ed315478e4590d2ced5a3e3c849981119f50600e,knowledge graph
121,ed315478e4590d2ced5a3e3c849981119f50600e,dialogue systems
122,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,graphs
123,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,extraction
124,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,knowledge
125,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,artificial intelligence
126,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,graph
127,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,semantic
128,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,machine learning
129,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,knowledge graph
130,9dbd26f6bab1664beb0a8b0cd6f9739d6d7a330a,construction
131,66a941202042bc808f05504616b5c0bfc7f60603,markov
132,66a941202042bc808f05504616b5c0bfc7f60603,graphs
133,66a941202042bc808f05504616b5c0bfc7f60603,knowledge
134,66a941202042bc808f05504616b5c0bfc7f60603,graph
135,66a941202042bc808f05504616b5c0bfc7f60603,reinforcement learning
136,66a941202042bc808f05504616b5c0bfc7f60603,knowledge graph
137,66a941202042bc808f05504616b5c0bfc7f60603,query
138,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,knowledge graph completion
139,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,knowledge
140,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,knowledge graph embeddings
141,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,graph
142,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,embedding
143,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,reasoning
144,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,knowledge graph
145,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,graph embedding
146,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,chatgpt
147,e88b8aecc0bbfded09a0dd9100bdc9ab68750686,completion
148,679f709e2736b0970429a2972f0aea48664bdbc3,graphs
149,679f709e2736b0970429a2972f0aea48664bdbc3,knowledge
150,679f709e2736b0970429a2972f0aea48664bdbc3,temporal knowledge graph
151,679f709e2736b0970429a2972f0aea48664bdbc3,graph
152,679f709e2736b0970429a2972f0aea48664bdbc3,representation learning
153,679f709e2736b0970429a2972f0aea48664bdbc3,embedding
154,679f709e2736b0970429a2972f0aea48664bdbc3,graph representation learning
155,679f709e2736b0970429a2972f0aea48664bdbc3,knowledge graph
156,679f709e2736b0970429a2972f0aea48664bdbc3,temporal
157,cb5fdc106ecee0bf90091e0468c1a7388b6eb923,neural networks
158,cb5fdc106ecee0bf90091e0468c1a7388b6eb923,knowledge
159,cb5fdc106ecee0bf90091e0468c1a7388b6eb923,graph neural networks
160,cb5fdc106ecee0bf90091e0468c1a7388b6eb923,prediction
161,cb5fdc106ecee0bf90091e0468c1a7388b6eb923,graph
162,90ddb49981e31378025de4e06c2347c174b8b5ae,knowledge graph
163,90ddb49981e31378025de4e06c2347c174b8b5ae,graph
164,90ddb49981e31378025de4e06c2347c174b8b5ae,graphs
165,90ddb49981e31378025de4e06c2347c174b8b5ae,knowledge
166,808ed52fa1923f0c7aa53b92d2799f7761250775,graphs
167,808ed52fa1923f0c7aa53b92d2799f7761250775,knowledge
168,808ed52fa1923f0c7aa53b92d2799f7761250775,graph
169,808ed52fa1923f0c7aa53b92d2799f7761250775,generator
170,808ed52fa1923f0c7aa53b92d2799f7761250775,reasoning
171,808ed52fa1923f0c7aa53b92d2799f7761250775,graph reasoning
172,808ed52fa1923f0c7aa53b92d2799f7761250775,knowledge graph
173,1909fcceedd2663aa452d67c4c1200651299a8f4,knowledge graph
174,1909fcceedd2663aa452d67c4c1200651299a8f4,graph
175,1909fcceedd2663aa452d67c4c1200651299a8f4,graphs
176,1909fcceedd2663aa452d67c4c1200651299a8f4,knowledge
177,91075f524e74bdc618fea689416de22c1cf2a472,question answering
178,91075f524e74bdc618fea689416de22c1cf2a472,graphs
179,91075f524e74bdc618fea689416de22c1cf2a472,extraction
180,91075f524e74bdc618fea689416de22c1cf2a472,knowledge graph completion
181,91075f524e74bdc618fea689416de22c1cf2a472,knowledge
182,91075f524e74bdc618fea689416de22c1cf2a472,deep learning
183,91075f524e74bdc618fea689416de22c1cf2a472,graph
184,91075f524e74bdc618fea689416de22c1cf2a472,knowledge graph reasoning
185,91075f524e74bdc618fea689416de22c1cf2a472,reasoning
186,91075f524e74bdc618fea689416de22c1cf2a472,graph reasoning
187,91075f524e74bdc618fea689416de22c1cf2a472,knowledge graph
188,91075f524e74bdc618fea689416de22c1cf2a472,information extraction
189,91075f524e74bdc618fea689416de22c1cf2a472,completion
190,d7993e014f232a851dc46feb45ec454afe3faa5a,graphs
191,d7993e014f232a851dc46feb45ec454afe3faa5a,knowledge
192,d7993e014f232a851dc46feb45ec454afe3faa5a,graph
193,d7993e014f232a851dc46feb45ec454afe3faa5a,ontology
194,d7993e014f232a851dc46feb45ec454afe3faa5a,knowledge graph
195,8809aa2207bdd26488603ec02389ecef720c9422,graphs
196,8809aa2207bdd26488603ec02389ecef720c9422,knowledge
197,8809aa2207bdd26488603ec02389ecef720c9422,tensor
198,8809aa2207bdd26488603ec02389ecef720c9422,graph
199,8809aa2207bdd26488603ec02389ecef720c9422,semantic
200,8809aa2207bdd26488603ec02389ecef720c9422,embedding
201,8809aa2207bdd26488603ec02389ecef720c9422,knowledge graph
202,8809aa2207bdd26488603ec02389ecef720c9422,graph embedding
203,8809aa2207bdd26488603ec02389ecef720c9422,semantic web
204,8809aa2207bdd26488603ec02389ecef720c9422,language
205,8809aa2207bdd26488603ec02389ecef720c9422,similarity
206,8809aa2207bdd26488603ec02389ecef720c9422,tensor decomposition
207,31184789ef4c3084af930b1e0dede3215b4a9240,graphs
208,31184789ef4c3084af930b1e0dede3215b4a9240,knowledge graph completion
209,31184789ef4c3084af930b1e0dede3215b4a9240,knowledge
210,31184789ef4c3084af930b1e0dede3215b4a9240,language models
211,31184789ef4c3084af930b1e0dede3215b4a9240,artificial intelligence
212,31184789ef4c3084af930b1e0dede3215b4a9240,graph
213,31184789ef4c3084af930b1e0dede3215b4a9240,prediction
214,31184789ef4c3084af930b1e0dede3215b4a9240,knowledge graph
215,31184789ef4c3084af930b1e0dede3215b4a9240,link prediction
216,31184789ef4c3084af930b1e0dede3215b4a9240,language
217,31184789ef4c3084af930b1e0dede3215b4a9240,classification
218,31184789ef4c3084af930b1e0dede3215b4a9240,transformer
