,venueName,typeName
0,Artificial Intelligence Review,journal
1,Conference on Human Information Interaction and Retrieval,conference
2,China Conference on Knowledge Graph and Semantic Computing,conference
3,J. Parallel Distributed Comput.,journal
4,Advances in Analytics for Learning and Teaching,journal
5,arXiv.org,arXiv
6,Fusion,journal
7,IEEE International Conference on Data Engineering,conference
8,North American Chapter of the Association for Computational Linguistics,conference
9,ACM Computing Surveys,journal
10,IPMV,conference
11,IEEE Transactions on Knowledge and Data Engineering,journal
12,Conference of the European Chapter of the Association for Computational Linguistics,conference
13,Conference on Empirical Methods in Natural Language Processing,conference
14,Knowledge Graphs for eXplainable Artificial Intelligence,workshop
15,AI Open,journal
16,Journal of Web Semantics,journal
17,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,conference
18,International Conference on Information and Knowledge Management,conference
19,ACM Transactions on Quantum Computing,journal
20,Knowledge-Based Systems,journal
21,Conference on Automated Knowledge Base Construction,conference
22,International Conference on Asian Digital Libraries,conference
23,International Conference on Artificial Intelligence and Statistics,conference
24,The Web Conference,conference
25,International Conference on Machine Learning,conference
26,International Joint Conference on Artificial Intelligence,conference
27,,
28,AAAI Conference on Artificial Intelligence,conference
29,International Conference on Computational Linguistics,conference
30,Data-Centric Engineering,journal
31,IEEE Power & Energy Society General Meeting,conference
32,Microprocessors and microsystems,journal
33,STARSEM,journal
34,Knowledge and Information Systems,journal
35,IEEE Transactions on Neural Networks and Learning Systems,journal
36,IEEE International Conference on Computer Vision,conference
37,Knowledge Discovery and Data Mining,journal
38,IJCKG,conference
39,Softw. Impacts,journal
40,Workshop on Biomedical Natural Language Processing,workshop
41,International Conference on Data Science and Advanced Analytics,conference
42,SumPre-HSWI@ESWC,conference
43,Annual Meeting of the Association for Computational Linguistics,conference
44,CCGPK,workshop
45,Iberoamerican Conference on Knowledge Graphs and Semantic Web,conference
46,Journées Francophones d'Ingénierie des Connaissances,conference
47,Trans. GIS,journal
48,Extended Semantic Web Conference,conference
49,Patterns,journal
50,International Conference on Language Resources and Evaluation,conference
51,SIGMOD Conference,conference
52,International Conference on Theory and Practice of Digital Libraries,conference
53,International Conference on Principles of Distributed Systems,conference
54,TGDK,journal
55,Proceedings of the Fifteenth Workshop on Graph-Based Methods for Natural Language Processing (TextGraphs-15),workshop
56,Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out,workshop
57,Pacific Symposium on Biocomputing,conference
58,International Conference on Artificial Intelligence and Knowledge Engineering,conference
59,Semantic Web,journal
60,Findings,journal
61,International Conference on Semantic Systems,conference
62,2023 IEEE 19th International Conference on Automation Science and Engineering (CASE),conference
63,IEEE transactions on intelligent transportation systems (Print),journal
64,ACM Multimedia,conference
65,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,journal
66,NLRSE,journal
67,Asian Conference on Computer Vision,conference
68,AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering,conference
69,Mathematics and Statistics,journal
70,NAACL-HLT,conference
71,Bioinform.,conference
72,SeWeBMeDA@ESWC,conference
73,ACM Transactions on Privacy and Security,journal
74,International Conference on Computer Supported Cooperative Work in Design,conference
75,2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS),conference
76,Industrial Conference on Data Mining,conference
77,2019 IEEE Innovative Smart Grid Technologies - Asia (ISGT Asia),conference
78,Workshop on Graph-based Methods for Natural Language Processing,workshop
79,IEEE transactions on multimedia,journal
80,Intelligent Automation &amp; Soft Computing,journal
81,JMIR Medical Informatics,journal
82,IEEE Transactions on Artificial Intelligence,journal
83,QuWeDa@ISWC,conference
84,International Conference on Database Systems for Advanced Applications,conference
85,2020 IEEE International Conference on Big Data (Big Data),conference
86,Journal of ICT Research and Applications,journal
87,AACL,conference
88,Computer Vision and Pattern Recognition,journal
89,ECML/PKDD,conference
90,International Conference on Human Factors in Computing Systems,conference
91,ACM Transactions on Information Systems,journal
92,Neurocomputing,journal
93,Journal of Biomedical Informatics,journal
94,International Workshop on the Semantic Web,workshop
95,AMIA ... Annual Symposium proceedings. AMIA Symposium,conference
96,Artificial Intelligence,journal
97,KGCW@ESWC,workshop
98,2021 IEEE International Conference on Big Data (Big Data),conference
99,Cybersecurity,journal
100,IEEE/RJS International Conference on Intelligent RObots and Systems,conference
101,Workshop on Representation Learning for NLP,workshop
102,Journal of Computing and Information Science in Engineering,journal
103,International Conference on Wirtschaftsinformatik,conference
104,BlockSW/CKG@ISWC,conference
105,ACM Conference on Hypertext & Social Media,conference
106,International Conference on Cloud Computing and Intelligence Systems,conference
107,IEEE International Conference on Bioinformatics and Biomedicine,conference
108,NEWSUM,journal
109,European Conference on Information Retrieval,conference
110,International Conference on Learning Representations,conference
111,NeurIPS Neural Information Processing Systems,conference
112,International Conference on Knowledge and Systems Engineering,conference
113,International Conference on Knowledge Capture,conference
114,International Journal of Production Research,journal
115,International Conference on Multimedia Retrieval,conference
116,Web Search and Data Mining,conference
117,International Journal of Image Graphics and Signal Processing,journal
118,SUKI,conference
119,SIGMOD Conference Companion,conference
120,PLoS ONE,journal
121,SAFA@COMMA,journal
122,ACM Trans. Inf. Syst.,journal
123,Journal of Biomedical Semantics,journal
124,International Conference on Advances in Social Networks Analysis and Mining,conference
125,ACM/IEEE Joint Conference on Digital Libraries,conference
126,International Conference on Neural Information Processing,conference
127,British Machine Vision Conference,conference
128,European Conference on Computer Vision,conference
129,RecSys Posters,workshop
130,IEEE Workshop/Winter Conference on Applications of Computer Vision,conference
131,WorldCIST,conference
132,Applied intelligence (Boston),journal
133,CAAI International Conference on Artificial Intelligence,conference
134,2017 IEEE International Conference on Big Data (Big Data),conference
135,Machine Learning and Knowledge Extraction,journal
136,Found. Trends Databases,journal
137,Conference on Computer Science and Information Systems,conference
138,NeurIPS Datasets and Benchmarks,conference
139,2021 IEEE International Conference on Consumer Electronics and Computer Engineering (ICCECE),conference
140,Journal of machine learning research,journal
141,2021 IEEE Intelligent Vehicles Symposium (IV),conference
142,Involve. A Journal of Mathematics,journal
143,IEEE Access,journal
144,Scientific Reports,journal
145,TEXT2KG/BiKE@ESWC,workshop
146,International Conference on Information System and Data Mining,conference
147,Journal of Industrial Information Integration,journal
148,Annual Review of Biomedical Data Science,journal
149,J. Assoc. Inf. Sci. Technol.,journal
150,International Journal of Intelligent Systems,journal
151,Proceedings of the VLDB Endowment,journal
152,Proceedings of the IEEE,journal
153,iConference,conference
154,Proceedings of the AAAI Symposium Series,conference
155,Artificial General Intelligence,journal
156,BMC Bioinformatics,journal
157,Int. J. Inf. Manag. Data Insights,journal
158,Natural Language Processing and Chinese Computing,conference
159,Encyclopedia of Big Data Technologies,journal
160,DL4KG@ISWC,conference
161,CHI Extended Abstracts,conference
162,LASCAR@ESWC,workshop
163,Sai,journal
164,Trans. Mach. Learn. Res.,journal
165,Molecular Omics,journal
166,International Conference on Intelligent Data Science Technologies and Applications,conference
167,Nordic Conference of Computational Linguistics,conference
168,International Conferences on Artificial Intelligence and Computer Vision,conference
169,OTM Conferences,conference
170,International Conference on Database and Expert Systems Applications,conference
171,Journal of Artificial Intelligence Research,journal
172,International Conference on Natural Language and Speech Processing,conference
173,Data & Knowledge Engineering,journal
174,Research Challenges in Information Science,conference
175,CAPNS@QI,conference
176,Information Processing Letters,journal
177,International Conference on Mathematics and Computing,conference
178,NLPOSS,workshop
179,Computational Linguistics,journal
180,IEEE International Conference on Fuzzy Systems,conference
181,Learning for Natural Language Processing,journal
182,WINLP,conference
183,Controlled Natural Language,conference
184,Multimedia tools and applications,journal
185,JEP/TALN/RECITAL,conference
186,Conference on Theory and Practice of Information Technologies,conference
187,Physics of Life Reviews,journal
188,Drug Discovery Today,journal
