,venueName
0,Artificial Intelligence Review
1,Conference on Human Information Interaction and Retrieval
2,China Conference on Knowledge Graph and Semantic Computing
3,J. Parallel Distributed Comput.
4,Advances in Analytics for Learning and Teaching
5,arXiv.org
6,Fusion
7,IEEE International Conference on Data Engineering
8,North American Chapter of the Association for Computational Linguistics
9,ACM Computing Surveys
10,IPMV
11,IEEE Transactions on Knowledge and Data Engineering
12,Conference of the European Chapter of the Association for Computational Linguistics
13,Conference on Empirical Methods in Natural Language Processing
14,Knowledge Graphs for eXplainable Artificial Intelligence
15,AI Open
16,Journal of Web Semantics
17,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval
18,International Conference on Information and Knowledge Management
19,ACM Transactions on Quantum Computing
20,Knowledge-Based Systems
21,Conference on Automated Knowledge Base Construction
22,International Conference on Asian Digital Libraries
23,International Conference on Artificial Intelligence and Statistics
24,The Web Conference
25,International Conference on Machine Learning
26,International Joint Conference on Artificial Intelligence
27,
28,AAAI Conference on Artificial Intelligence
29,International Conference on Computational Linguistics
30,Data-Centric Engineering
31,IEEE Power & Energy Society General Meeting
32,Microprocessors and microsystems
33,STARSEM
34,Knowledge and Information Systems
35,IEEE Transactions on Neural Networks and Learning Systems
36,IEEE International Conference on Computer Vision
37,Knowledge Discovery and Data Mining
38,IJCKG
39,Softw. Impacts
40,Workshop on Biomedical Natural Language Processing
41,International Conference on Data Science and Advanced Analytics
42,SumPre-HSWI@ESWC
43,Annual Meeting of the Association for Computational Linguistics
44,CCGPK
45,Iberoamerican Conference on Knowledge Graphs and Semantic Web
46,Journées Francophones d'Ingénierie des Connaissances
47,Trans. GIS
48,Extended Semantic Web Conference
49,Patterns
50,International Conference on Language Resources and Evaluation
51,SIGMOD Conference
52,International Conference on Theory and Practice of Digital Libraries
53,International Conference on Principles of Distributed Systems
54,TGDK
55,Proceedings of the Fifteenth Workshop on Graph-Based Methods for Natural Language Processing (TextGraphs-15)
56,Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out
57,Pacific Symposium on Biocomputing
58,International Conference on Artificial Intelligence and Knowledge Engineering
59,Semantic Web
60,Findings
61,International Conference on Semantic Systems
62,2023 IEEE 19th International Conference on Automation Science and Engineering (CASE)
63,IEEE transactions on intelligent transportation systems (Print)
64,ACM Multimedia
65,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies
66,NLRSE
67,Asian Conference on Computer Vision
68,AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering
69,Mathematics and Statistics
70,NAACL-HLT
71,Bioinform.
72,SeWeBMeDA@ESWC
73,ACM Transactions on Privacy and Security
74,International Conference on Computer Supported Cooperative Work in Design
75,2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS)
76,Industrial Conference on Data Mining
77,2019 IEEE Innovative Smart Grid Technologies - Asia (ISGT Asia)
