,Venue,venueType;;;
0,Artificial Intelligence Review,journal;;;
1,Conference on Human Information Interaction and Retrieval,conference;;;
2,China Conference on Knowledge Graph and Semantic Computing,conference;;;
3,J. Parallel Distributed Comput.,journal;;;
4,Advances in Analytics for Learning and Teaching,journal;;;
5,arXiv.org,arXiv;;;
6,Fusion,journal;;;
7,IEEE International Conference on Data Engineering,conference;;;
8,North American Chapter of the Association for Computational Linguistics,conference;;;
9,ACM Computing Surveys,journal;;;
10,IPMV,conference;;;
11,IEEE Transactions on Knowledge and Data Engineering,journal;;;
12,Conference of the European Chapter of the Association for Computational Linguistics,conference;;;
13,Conference on Empirical Methods in Natural Language Processing,conference;;;
14,Knowledge Graphs for eXplainable Artificial Intelligence,workshop;;;
15,AI Open,journal;;;
16,Journal of Web Semantics,journal;;;
17,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,conference;;;
18,International Conference on Information and Knowledge Management,conference;;;
19,ACM Transactions on Quantum Computing,journal;;;
20,Knowledge-Based Systems,journal;;;
21,Conference on Automated Knowledge Base Construction,conference;;;
22,International Conference on Asian Digital Libraries,conference;;;
23,International Conference on Artificial Intelligence and Statistics,conference;;;
24,The Web Conference,conference;;;
25,International Conference on Machine Learning,conference;;;
26,International Joint Conference on Artificial Intelligence,conference;;;
"27,""International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems"",conference";;;
28,AAAI Conference on Artificial Intelligence,conference;;;
29,International Conference on Computational Linguistics,conference;;;
30,Data-Centric Engineering,journal;;;
31,IEEE Power & Energy Society General Meeting,conference;;;
32,Microprocessors and microsystems,journal;;;
33,STARSEM,journal;;;
34,Knowledge and Information Systems,journal;;;
35,IEEE Transactions on Neural Networks and Learning Systems,journal;;;
36,IEEE International Conference on Computer Vision,conference;;;
37,Knowledge Discovery and Data Mining,journal;;;
38,IJCKG,conference;;;
39,Softw. Impacts,journal;;;
40,Workshop on Biomedical Natural Language Processing,workshop;;;
41,International Conference on Data Science and Advanced Analytics,conference;;;
42,SumPre-HSWI@ESWC,conference;;;
43,Annual Meeting of the Association for Computational Linguistics,conference;;;
44,CCGPK,workshop;;;
45,Iberoamerican Conference on Knowledge Graphs and Semantic Web,conference;;;
46,Journées Francophones d'Ingénierie des Connaissances,conference;;;
47,Trans. GIS,journal;;;
48,Extended Semantic Web Conference,conference;;;
49,Patterns,journal;;;
50,International Conference on Language Resources and Evaluation,conference;;;
"51,""International Conference on Computing, Networking and Communications"",conference";;;
52,SIGMOD Conference,conference;;;
53,International Conference on Theory and Practice of Digital Libraries,conference;;;
54,International Conference on Principles of Distributed Systems,conference;;;
55,TGDK,journal;;;
56,Proceedings of the Fifteenth Workshop on Graph-Based Methods for Natural Language Processing (TextGraphs-15),workshop;;;
57,Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out,workshop;;
"58,""International Conference on Language, Data, and Knowledge"",conference";;;
59,Pacific Symposium on Biocomputing,conference;;;
60,International Conference on Artificial Intelligence and Knowledge Engineering,conference;;;
61,Semantic Web,journal;;;
62,Findings,journal;;;
63,International Conference on Semantic Systems,conference;;;
64,2023 IEEE 19th International Conference on Automation Science and Engineering (CASE),conference;;;
65,IEEE transactions on intelligent transportation systems (Print),journal;;;
66,ACM Multimedia,conference;;;
67,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,journal;;;
68,NLRSE,journal;;;
69,Asian Conference on Computer Vision,conference;;;
70,AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering,conference;;;
71,Mathematics and Statistics,journal;;;
72,NAACL-HLT,conference;;;
73,Bioinform.,conference;;;
"74,""IET Generation, Transmission & Distribution"",journal";;;
"75,""International Conference Algebras, graphs and ordered sets"",conference";;;
76,SeWeBMeDA@ESWC,conference;;;
77,ACM Transactions on Privacy and Security,journal;;;
78,International Conference on Computer Supported Cooperative Work in Design,conference;;;
79,2020 IEEE 33rd International Symposium on Computer-Based Medical Systems (CBMS),conference;;;
80,Industrial Conference on Data Mining,conference;;;
81,2019 IEEE Innovative Smart Grid Technologies - Asia (ISGT Asia),conference;;;
82,Workshop on Graph-based Methods for Natural Language Processing,workshop;;;
83,IEEE transactions on multimedia,journal;;;
84,Intelligent Automation &amp; Soft Computing,journal;;
85,JMIR Medical Informatics,journal;;;
86,IEEE Transactions on Artificial Intelligence,journal;;;
87,QuWeDa@ISWC,conference;;;
88,International Conference on Database Systems for Advanced Applications,conference;;;
"89,""IEEE International Conference on Acoustics, Speech, and Signal Processing"",conference";;;
90,2020 IEEE International Conference on Big Data (Big Data),conference;;;
91,Journal of ICT Research and Applications,journal;;;
92,AACL,conference;;;
93,Computer Vision and Pattern Recognition,journal;;;
94,ECML/PKDD,conference;;;
95,International Conference on Human Factors in Computing Systems,conference;;;
96,ACM Transactions on Information Systems,journal;;;
97,Neurocomputing,journal;;;
98,Journal of Biomedical Informatics,journal;;;
99,International Workshop on the Semantic Web,workshop;;;
100,AMIA ... Annual Symposium proceedings. AMIA Symposium,conference;;;
101,Artificial Intelligence,journal;;;
102,KGCW@ESWC,workshop;;;
103,2021 IEEE International Conference on Big Data (Big Data),conference;;;
104,Cybersecurity,journal;;;
105,IEEE/RJS International Conference on Intelligent RObots and Systems,conference;;;
106,Workshop on Representation Learning for NLP,workshop;;;
107,Journal of Computing and Information Science in Engineering,journal;;;
108,International Conference on Wirtschaftsinformatik,conference;;;
109,BlockSW/CKG@ISWC,conference;;;
110,ACM Conference on Hypertext & Social Media,conference;;;
111,International Conference on Cloud Computing and Intelligence Systems,conference;;;
